year,value
1990,0.000542316525185481
1991,0.00119933769538155
1992,0.0186494929018428
1993,0.179961613174753
1994,0.717656757861153
1995,1.71517
1996,2.455975
1997,2.778421
1998,3.258399
1999,5.539641
2000,7.301404
2001,8.322817
2002,9.273504
2003,9.866787
2004,11.556843
2005,12.736131
2006,12.618288
2007,13.984503
2008,14.341196
2009,14.016913
2010,15.821142
2011,18.443729
2012,19.56826
2013,19.505592
2014,20.998875
2015,23.562632
2016,24.192337
2017,24.124181
2018,24.542904
2019,23.9342746734619
2020,23.1451683044434
2021,23.6851463317871
2022,26.1434063501628
2023,26.8893044156305
2024,29.0330725994197
2025,29.6122633846497
