year;RZ;Budget
2018;0;16529198800
2018;1;1305800000
2018;2;2771800000
2018;3;2108100000
2018;4;2404100000
2018;5;125800000
2018;6;88800000
2018;7;663200000
2018;8;93700000
2018;9;460300000
2018;10;4706100000
2018;11;59200000
2018;12;82700000
2018;13;824300000
2018;14;835300000
2019;0;18037246116
2019;1;1420000000
2019;2;2926200000
2019;3;2206800000
2019;4;2632400000
2019;5;216400000
2019;6;187600000
2019;7;843700000
2019;8;127200000
2019;9;655600000
2019;10;4887800000
2019;11;61300000
2019;12;75900000
2019;13;852100000
2019;14;944100000
2020;0;19503319920
2020;1;1557400000
2020;2;3087000000
2020;3;2430400000
2020;4;2658400000
2020;5;260800000
2020;6;343800000
2020;7;912500000
2020;8;144400000
2020;9;1027900000
2020;10;5004100000
2020;11;74700000
2020;12;94800000
2020;13;897000000
2020;14;1010200000
2021;0;21520068141
2021;1;1582600000
2021;2;3113200000
2021;3;2456700000
2021;4;3328300000
2021;5;322200000
2021;6;335700000
2021;7;1082700000
2021;8;135100000
2021;9;1129400000
2021;10;5692900000
2021;11;65300000
2021;12;102800000
2021;13;1230900000
2021;14;969200000
2022;0;23694227486
2022;1;1869100000
2022;2;3502100000
2022;3;2826000000
2022;4;3348200000
2022;5;460900000
2022;6;482400000
2022;7;1264900000
2022;8;178400000
2022;9;1272100000
2022;10;5843200000
2022;11;81100000
2022;12;115600000
2022;13;1403400000
2022;14;1047000000
2023;0;29055564300
2023;1;2008500000
2023;2;4972600000
2023;3;3564300000
2023;4;3801500000
2023;5;591000000
2023;6;352200000
2023;7;1392800000
2023;8;197000000
2023;9;1523600000
2023;10;7673900000
2023;11;70500000
2023;12;119700000
2023;13;1519300000
2023;14;1252000000
2024;0;36660675369
2024;1;2187900000
2024;2;10378200000
2024;3;3285200000
2024;4;4203200000
2024;5;958900000
2024;6;481700000
2024;7;1565400000
2024;8;224400000
2024;9;1649300000
2024;10;7873100000
2024;11;68100000
2024;12;122300000
2024;13;2291300000
2024;14;1371700000
2025;1;2467700000
2025;2;13087400000
2025;3;3438400000
2025;4;4377400000
2025;5;1815500000
2025;6;891100000
2025;7;1597000000
2025;8;234600000
2025;9;1884200000
2025;10;6881500000
2025;11;69700000
2025;12;140300000
2025;13;3181700000
2025;14;1403100000
2026;1;2751300000
2026;2;12121000000
2026;3;3826700000
2026;4;4843700000
2026;5;2031400000
2026;6;1102500000
2026;7;1747400000
2026;8;304800000
2026;9;1904900000
2026;10;7838700000
2026;11;73800000
2026;12;148900000
2026;13;3900200000
2026;14;1474500000
